title,price,url,scraped_at
25th ANNIVERSARY COLLECTION ピカチュウ,700,https://jp.mercari.com/item/m97632755729,2026-05-05T10:02:20.610385
ポケモンカード 旧裏 サンダース カスミのシードラ★ホロ 2枚セット キラ 初期,600,https://jp.mercari.com/item/m28838973038,2026-05-05T10:02:20.614752
メガアブソルSAR 1枚＋AR2枚 計3枚セット,700,https://jp.mercari.com/item/m12837293953,2026-05-05T10:02:20.618878
ミュウツーGX RR フーパ　プロモ　レックウザ　ラティアス&ラティオス,800,https://jp.mercari.com/item/m45017975575,2026-05-05T10:02:20.623115
ポケカ　メガゲッコウガex　進化ライン,888,https://jp.mercari.com/item/m39356093633,2026-05-05T10:02:20.627475
ピカチュウ R S10b Pokémon GO 028/071,700,https://jp.mercari.com/item/m48875726295,2026-05-05T10:02:20.632255
ポケカ ブイズ ジムプロモ,"1,099",https://jp.mercari.com/item/m53209083538,2026-05-05T10:02:20.636700
ポケモンカード　サポート14枚セット,"5,800",https://jp.mercari.com/item/m53913283479,2026-05-05T10:02:20.640988
ポケモンカード SSR シャイニートレジャー　セット,400,https://jp.mercari.com/item/m54075616078,2026-05-05T10:02:20.645383
フォッコ AR MEGA ニンジャスピナー 085/083 4枚セット ①,"1,650",https://jp.mercari.com/item/m94462892411,2026-05-05T10:02:20.649897
ポケモンカード 4枚セット,"1,111",https://jp.mercari.com/item/m47785482723,2026-05-05T10:02:20.654364
ポケモンカード モンボミラー ＆ アートレア,700,https://jp.mercari.com/item/m16041465717,2026-05-05T10:02:20.658693
ポケモンカード/ディアンシー/フラエッテ/ポケキュン,"2,700",https://jp.mercari.com/item/m31186616781,2026-05-05T10:02:20.663052
ポケモンカード　タッグオールスターズ　RRまとめ売り,700,https://jp.mercari.com/item/m61123169045,2026-05-05T10:02:20.667739
ポケモンカードセット シンオウのポケモン,"4,000",https://jp.mercari.com/item/m60355228899,2026-05-05T10:02:20.672432
ポケモンGOピカチュウ＋αセット,"4,900",https://jp.mercari.com/item/m57734326318,2026-05-05T10:02:20.677283
ポケカ　スタートデッキ100 バトルコレクション　ライチュウ　ミラー　3枚,999,https://jp.mercari.com/item/m99117146309,2026-05-05T10:02:20.681690
いっしょにフレンドバトル　草エネルギー　５枚セット　その３,"1,666",https://jp.mercari.com/item/m52535429297,2026-05-05T10:02:20.685905
ポケモンカード　ミュウツー,300,https://jp.mercari.com/item/m28482564904,2026-05-05T10:02:20.690088
ポケモンカード　ボスの指令　アカギ　SR 2枚セット,"3,400",https://jp.mercari.com/item/m25194162226,2026-05-05T10:02:20.694242
ポケモンカード　プロモポケパット4枚セット,"1,200",https://jp.mercari.com/item/m74937166845,2026-05-05T10:02:20.698689
ポケモンカード イルカマンGXなど4枚セット,400,https://jp.mercari.com/item/m61787692735,2026-05-05T10:02:20.703291
ポケカ レシラムex ゼクロムex ソウブレイズex RR3枚セット,400,https://jp.mercari.com/item/m12186919133,2026-05-05T10:02:20.707681
ポケモンカード ブイズ　15枚セット,"3,200",https://jp.mercari.com/item/m85430635238,2026-05-05T10:02:20.711880
ピカチュウ 4枚セット クレイバーストポケカ,580,https://jp.mercari.com/item/m52383621188,2026-05-05T10:02:20.716530
ポケモンカード ポケパッド 8枚 M3,"1,090",https://jp.mercari.com/shops/product/2JP9wjWjzKk9D9Wo5m5M7N,2026-05-05T10:02:20.720804
「おまけ付き」イーブイ ● 拡張パック 金の空、銀の海 079/106,300,https://jp.mercari.com/item/m63607077211,2026-05-05T10:02:20.724881
モンボミラー2枚,980,https://jp.mercari.com/item/m60344257179,2026-05-05T10:02:20.729326
イーブイ・シャワーズ ・ブースターchr,"4,544",https://jp.mercari.com/item/m99350463948,2026-05-05T10:02:20.733724
ポケモンカード　メガディアンシーex ma,"1,333",https://jp.mercari.com/item/m17479221255,2026-05-05T10:02:20.737850
ポケモンカードセット,400,https://jp.mercari.com/item/m84408171557,2026-05-05T10:02:20.742201
ポケモンカード まとめ売り ブイーズ9枚セット RR,500,https://jp.mercari.com/item/m85780275889,2026-05-05T10:02:20.746747
【大特価】ポケモンカード GX 8種8枚まとめ売り,"1,666",https://jp.mercari.com/item/m81631355969,2026-05-05T10:02:20.751041
tag team GX RR AR 100枚　ピカチュウ　レックウザ,"29,999",https://jp.mercari.com/item/m27965882655,2026-05-05T10:02:20.755229
ポケモンカード151 ライチュウ,350,https://jp.mercari.com/item/m54451537480,2026-05-05T10:02:20.759493
ポケモンカード　25th anniversary ルギア　ホウオウ　ミラー,"1,400",https://jp.mercari.com/item/m43173581100,2026-05-05T10:02:20.763928
ポケモンカードゲーム AR SR MA まとめ売り,700,https://jp.mercari.com/item/m47056364559,2026-05-05T10:02:20.768161
※3枚セット※わるいサンダース ブースター◆ 第4弾拡張パック ロケット団 旧裏,"1,980",https://jp.mercari.com/item/m64931401587,2026-05-05T10:02:20.772220
ポケモンカード コイル ソニックブーム 3枚セット　R 005/020,950,https://jp.mercari.com/item/m74183653448,2026-05-05T10:02:20.778880
ポケカ ニャースex RR MEGA ムニキスゼロ 061/080 おまけ付き,700,https://jp.mercari.com/item/m67118261385,2026-05-05T10:02:20.785220
汎用トレーナーズ 53枚まとめ売り ポケモンカード,300,https://jp.mercari.com/item/m16748577873,2026-05-05T10:02:20.791606
ポケカ　RR 43枚　まとめ売り,"1,399",https://jp.mercari.com/item/m70327301375,2026-05-05T10:02:20.797730
ミュウツーLv.Xセット,"2,500",https://jp.mercari.com/item/m77149406983,2026-05-05T10:02:20.802894
